Doc File Name	Document Index	Norm
article-303.stem	227	0.457272
article-304.stem	228	0.645574
article-305.stem	229	0.275269
article-306.stem	230	0.327982
article-307.stem	231	0.345759
article-308.stem	232	0.362490
article-309.stem	233	0.409963
article-31.stem	234	0.347499
article-310.stem	235	0.317459
article-311.stem	236	0.318285
article-312.stem	237	0.247296
article-313.stem	238	0.344011
article-314.stem	239	0.358640
article-315.stem	240	0.468401
article-316.stem	241	0.341061
article-317.stem	242	0.298194
article-318.stem	243	0.335031
article-319.stem	244	0.420173
article-32.stem	245	0.383592
article-320.stem	246	0.328123
article-321.stem	247	0.373797
article-322.stem	248	0.544149
article-323.stem	249	0.430050
article-324.stem	250	1.223844
article-325.stem	251	0.407567
article-326.stem	252	0.414241
article-327.stem	253	0.526142
article-328.stem	254	0.529298
article-329.stem	255	0.387891
article-33.stem	256	0.346821
article-330.stem	257	0.539175
article-331.stem	258	0.475191
article-332.stem	259	0.349569
article-333.stem	260	0.580659
article-334.stem	261	0.389247
article-335.stem	262	0.377343
article-336.stem	263	0.365288
article-337.stem	264	0.412148
article-338.stem	265	0.324041
article-339.stem	266	0.402793
article-34.stem	267	0.410220
article-340.stem	268	0.556122
article-341.stem	269	0.366843
article-342.stem	270	0.502038
article-4.stem	271	0.235336
article-40.stem	272	0.475768
article-400.stem	273	0.528943
article-401.stem	274	0.406090
article-402.stem	275	0.406588
article-403.stem	276	0.429895
article-404.stem	277	0.344869
article-405.stem	278	0.814511
article-406.stem	279	0.312670
article-407.stem	280	0.445225
article-408.stem	281	0.195127
article-409.stem	282	0.223271
article-41.stem	283	0.268225
article-410.stem	284	0.365795
article-411.stem	285	0.479556
article-412.stem	286	0.618426
article-413.stem	287	0.547058
article-414.stem	288	0.332933
article-415.stem	289	0.446306
article-416.stem	290	0.222467
article-417.stem	291	0.374801
article-418.stem	292	0.427568
article-419.stem	293	0.455538
article-42.stem	294	0.389765
article-420.stem	295	0.346511
article-421.stem	296	0.474225
article-422.stem	297	0.320848
article-423.stem	298	0.205463
article-424.stem	299	0.269094
article-425.stem	300	0.288206
article-426.stem	301	0.340701
article-427.stem	302	0.394857
article-428.stem	303	0.701466
article-429.stem	304	0.370473
article-43.stem	305	0.435044
article-430.stem	306	0.414652
article-431.stem	307	0.282427
article-432.stem	308	0.422759
article-433.stem	309	0.442296
article-434.stem	310	0.489156
article-435.stem	311	0.489864
article-436.stem	312	0.189903
article-437.stem	313	0.186870
article-438.stem	314	0.465540
article-439.stem	315	0.445518
article-44.stem	316	0.313075
article-440.stem	317	0.468210
article-441.stem	318	0.413441
article-442.stem	319	0.381107
article-443.stem	320	0.549399
article-444.stem	321	0.308063
article-445.stem	322	0.437051
article-446.stem	323	0.459268
article-447.stem	324	0.577670
article-448.stem	325	0.500532
article-449.stem	326	0.319975
article-45.stem	327	0.259378
article-450.stem	328	0.576081
article-451.stem	329	0.562970
article-452.stem	330	0.290525
article-453.stem	331	0.349384
article-454.stem	332	0.560724
article-455.stem	333	0.508614
article-456.stem	334	0.376654
article-457.stem	335	0.367967
article-458.stem	336	0.523981
article-459.stem	337	0.401700
article-46.stem	338	0.382319
article-460.stem	339	0.479479
article-461.stem	340	0.399169
article-462.stem	341	1.387065
article-463.stem	342	0.523046
article-464.stem	343	0.403230
article-465.stem	344	0.372195
article-466.stem	345	0.426683
article-467.stem	346	0.356151
article-468.stem	347	0.314773
article-469.stem	348	0.354367
article-47.stem	349	0.377948
article-470.stem	350	0.571005
article-471.stem	351	0.419250
article-472.stem	352	0.390220
article-473.stem	353	0.432529
article-474.stem	354	0.544345
article-475.stem	355	0.362374
article-476.stem	356	0.299789
article-477.stem	357	0.301330
article-478.stem	358	0.276575
article-479.stem	359	0.765732
article-48.stem	360	0.236705
article-480.stem	361	0.380771
article-481.stem	362	1.078314
article-482.stem	363	0.285571
article-483.stem	364	0.390594
article-484.stem	365	0.352150
article-485.stem	366	0.450673
article-486.stem	367	0.315273
article-487.stem	368	0.410839
article-488.stem	369	0.581564
article-489.stem	370	0.317384
article-49.stem	371	0.955259
article-490.stem	372	0.369843
article-491.stem	373	0.956581
article-492.stem	374	0.426249
article-493.stem	375	0.450002
article-494.stem	376	0.313371
article-495.stem	377	0.846089
article-496.stem	378	0.321986
article-497.stem	379	0.495270
article-498.stem	380	0.412091
article-499.stem	381	0.386026
article-5.stem	382	0.264108
article-50.stem	383	0.361971
article-500.stem	384	0.383841
article-501.stem	385	0.438969
article-502.stem	386	0.530395
article-503.stem	387	0.437548
article-504.stem	388	0.454785
article-505.stem	389	0.184423
article-506.stem	390	0.445499
article-507.stem	391	0.212178
article-508.stem	392	0.771147
article-509.stem	393	0.337427
article-51.stem	394	0.165497
article-510.stem	395	0.318332
article-511.stem	396	0.788019
article-512.stem	397	0.281979
article-513.stem	398	0.924042
article-514.stem	399	0.426818
article-515.stem	400	0.495377
article-516.stem	401	0.530952
article-517.stem	402	0.490223
article-518.stem	403	0.486257
article-519.stem	404	0.552878
article-52.stem	405	0.296164
article-520.stem	406	0.203362
article-521.stem	407	1.152272
article-522.stem	408	0.352600
article-523.stem	409	0.519128
article-524.stem	410	0.337232
article-525.stem	411	0.517885
article-526.stem	412	0.420554
article-527.stem	413	0.862389
article-528.stem	414	0.388202
article-529.stem	415	0.524041
article-53.stem	416	0.858533
article-530.stem	417	0.444156
article-531.stem	418	0.769159
